FID_,cartodb_id,name,id,POINT_X,POINT_Y
,1, ,0.000000000000000,0.000000000000000,0.000000000000000
,18,Great Bay,18.000000000000000,-70.880012510000000,43.071395809999999
,2,Altamaha River,2.000000000000000,-81.485595700000005,31.359500520000001
,31,Sabine Lake,31.000000000000000,-93.867187500000000,29.898400870000000
,3,Ossabaw Sound,3.000000000000000,-81.039276119999997,31.847232250000001
,38,Tangier Sound,38.000000000000000,-75.921020510000005,37.861844099999999
,32,Laguna Madre,32.000000000000000,-97.422637940000001,26.838776060000001
,4,Sapelo Sound,4.000000000000000,-81.213684079999993,31.548112060000001
,29,Aransas Bay,29.000000000000000,-97.003784179999997,28.050166890000000
,5,St Simons Sound,5.000000000000000,-81.421909330000005,31.131725899999999
,33,Humboldt Bay,33.000000000000000,-124.192886349999990,40.785870600000003
,19,San Francisco Bay,19.000000000000000,-122.301177980000010,37.690884300000000
,6,Savannah River,6.000000000000000,-80.888214110000007,32.035146920000003
,7,New River,7.000000000000000,-77.394561769999996,34.694202959999998
,34,Yaquina Bay,34.000000000000000,-124.024486540000000,44.619066040000000
,8,Broad River,8.000000000000000,-81.153945919999998,34.160113639999999
,35,Netarts Bay,35.000000000000000,-123.948183060000010,45.402608309999998
,9,St. Helena Sound,9.000000000000000,-80.532875059999995,32.526552559999999
,39,Delaware Bay,39.000000000000000,-75.179443359999993,39.066114259999999
,20,Elkhorn Slough,20.000000000000000,-121.766710280000000,36.815812729999998
,10,Stono River,10.000000000000000,-80.015830989999998,32.647469469999997
,36,Willapa Bay,36.000000000000000,-123.955993650000000,46.547527670000001
,11,Charleston Harbor,11.000000000000000,-79.901161189999996,32.770532590000002
,37,Chincoteague Bay,37.000000000000000,-75.292053220000000,38.069717030000000
,12,Tampa Bay,12.000000000000000,-82.518997189999993,27.786846480000001
,48,York River,48.000000000000000,-76.549472809999997,37.276238360000001
,13,Indian River,13.000000000000000,-80.453567500000005,27.830878920000000
,40,Long Island Sound,40.000000000000000,-73.031616209999996,41.042073850000001
,21,Mobile Bay,21.000000000000000,-88.003234860000006,30.471756830000000
,14,Rookery Bay,14.000000000000000,-81.754674910000006,26.035345240000002
,43,Hudson River/Raritan Bay,43.000000000000000,-74.080810549999995,40.546678470000003
,41,New Jersey Inland Bays,41.000000000000000,-74.450912480000000,39.439905130000000
,15,Charlotte Harbor,15.000000000000000,-82.102203369999998,26.832649090000000
,16,Caloosahatchee River,16.000000000000000,-81.915779110000003,26.584842920000000
,42,Barnegat Bay,42.000000000000000,-74.115486149999995,39.862053699999997
,46,Pamilco Sound,46.000000000000000,-75.991058350000003,35.316245770000002
,17,Biscayne Bay,17.000000000000000,-80.202255249999993,25.722281660000000
,44,Neuse River,44.000000000000000,-76.960258479999993,35.030558630000002
,30,San Antonio Bay,30.000000000000000,-96.741485600000004,28.326142290000000
,22,Apalachee Bay,22.000000000000000,-84.053821560000003,30.081572179999998
,45,Bogue Sound,45.000000000000000,-76.911849980000000,34.705493410000003
,23,Pensacola Bay,23.000000000000000,-87.217197420000005,30.384130249999998
,24,Apalachicola Bay,24.000000000000000,-84.985771180000000,29.676569220000001
,47,Narragansett Bay,47.000000000000000,-71.355514529999994,41.593878050000001
,25,West Mississippi Sound,25.000000000000000,-89.313354489999995,30.247204610000001
,26,Galveston Bay,26.000000000000000,-94.850463869999999,29.488022550000000
,49,James River,49.000000000000000,-76.519432069999993,37.010229340000002
,27,Matagorda Bay,27.000000000000000,-96.381683350000003,28.571255940000000
,28,Corpus Christi Bay,28.000000000000000,-97.266769409999995,27.768317159999999
